name,type,episodes,mal_id
Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV,12,54595
Kamisama Hajimemashita: Kako-hen,OVA,4,30709
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,35851
Gintama°: Aizome Kaori-hen,OVA,2,32366
Houseki no Kuni,TV,12,35557
Josee to Tora to Sakana-tachi,Movie,1,40787
3-gatsu no Lion,TV,22,31646
Chihayafuru 2,TV,25,14397
Cowboy Bebop: Tengoku no Tobira,Movie,1,5
Cross Game,TV,50,5941
Tensei shitara Slime Datta Ken 2nd Season,TV,12,39551
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),Movie,1,5205
Kaze ga Tsuyoku Fuiteiru,TV,23,37965
Ore dake Level Up na Ken,TV,12,52299
Kimetsu no Yaiba: Mugen Ressha-hen,TV,7,49926
Made in Abyss Movie 2: Hourou Suru Tasogare,Movie,1,37515
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,1,11979
Mo Dao Zu Shi: Xian Yun Pian,ONA,8,38450
Mushoku Tensei: Isekai Ittara Honki Dasu,TV,11,39535
Non Non Biyori Nonstop,TV,12,39808
Barakamon,TV,12,22789
Baccano!,TV,13,2251
Blue Giant,Movie,1,50183
Haikyuu!! To the Top,TV,13,38883
Kizumonogatari I: Tekketsu-hen,Movie,1,9260
Mahou Shoujo Madoka★Magica,TV,12,9756
Ramayana: The Legend of Prince Rama,Movie,1,4921
K-On! Movie,Movie,1,9617
Kaze no Tani no Nausicaä,Movie,1,572
Fumetsu no Anata e,TV,20,41025
Gintama: Shiroyasha Koutan,Special,1,6945
Hellsing Ultimate,OVA,10,777
Shinseiki Evangelion,TV,26,30
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,12,39547
Tian Guan Cifu,ONA,11,40730
Usagi Drop,TV,11,10162
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Special,1,37095
Meitantei Conan Movie 26: Kurogane no Submarine,Movie,1,53540
Bakuman. 2nd Season,TV,25,10030
Dr. Stone: New World Part 2,TV,11,55644
IDOLiSH7 Third Beat! Part 2,TV,17,46654
Initial D First Stage,TV,26,185
Bakemonogatari,TV,15,5081
Tensei shitara Slime Datta Ken 2nd Season Part 2,TV,12,41487
Tian Guan Cifu Special,ONA,1,44070
Versailles no Bara,TV,40,338
Kidou Senshi Gundam: The Origin,OVA,6,10937
Kiseijuu: Sei no Kakuritsu,TV,24,22535
Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1,20651
One Outs,TV,25,5040
Psycho-Pass,TV,22,13601
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,13,39587
Romeo no Aoi Sora,TV,33,2559
Major S6,TV,25,7655
Natsume Yuujinchou Go Specials,Special,2,34534
Sasaki to Miyano Movie: Sotsugyou-hen,Movie,1,51440
