name,type,episodes,mal_link
Steins;Gate 0,TV,23,https://myanimelist.net/anime/30484/Steins_Gate_0
Sora yori mo Tooi Basho,TV,13,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
Yuru Camp△ Season 2,TV,13,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
Kara no Kyoukai Movie 5: Mujun Rasen,Movie,1,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,26,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
Ousama Ranking,TV,23,https://myanimelist.net/anime/40834/Ousama_Ranking
Pluto,ONA,8,https://myanimelist.net/anime/35737/Pluto
Chainsaw Man,TV,12,https://myanimelist.net/anime/44511/Chainsaw_Man
Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
Gintama.: Porori-hen,TV,13,https://myanimelist.net/anime/35843/Gintama__Porori-hen
Hotaru no Haka,Movie,1,https://myanimelist.net/anime/578/Hotaru_no_Haka
Shingeki no Kyojin Season 2,TV,12,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
Samurai Champloo,TV,26,https://myanimelist.net/anime/205/Samurai_Champloo
One Punch Man,TV,12,https://myanimelist.net/anime/30276/One_Punch_Man
Shiguang Dailiren II,ONA,12,https://myanimelist.net/anime/49413/Shiguang_Dailiren_II
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
Yakusoku no Neverland,TV,12,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
Summertime Render,TV,25,https://myanimelist.net/anime/47194/Summertime_Render
Uchuu Kyoudai,TV,99,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
Mob Psycho 100,TV,12,https://myanimelist.net/anime/32182/Mob_Psycho_100
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,1,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
Ansatsu Kyoushitsu 2nd Season,TV,25,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
Aria the Origination,TV,13,https://myanimelist.net/anime/3297/Aria_the_Origination
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,1,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
Karakai Jouzu no Takagi-san Movie,Movie,1,https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie
Kimetsu no Yaiba,TV,26,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
Mo Dao Zu Shi: Wanjie Pian,ONA,12,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
Rainbow: Nisha Rokubou no Shichinin,TV,26,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
Banana Fish,TV,24,https://myanimelist.net/anime/36649/Banana_Fish
Gintama: The Semi-Final,Special,2,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final
Chihayafuru 3,TV,24,https://myanimelist.net/anime/37379/Chihayafuru_3
Yuu☆Yuu☆Hakusho,TV,112,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
Nichijou,TV,26,https://myanimelist.net/anime/10165/Nichijou
Owarimonogatari,TV,12,https://myanimelist.net/anime/31181/Owarimonogatari
Bungou Stray Dogs 4th Season,TV,13,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season
Golden Kamuy 3rd Season,TV,12,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
Jujutsu Kaisen 0 Movie,Movie,1,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
Zoku Owarimonogatari,TV,6,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
Haikyuu!!,TV,25,https://myanimelist.net/anime/20583/Haikyuu
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV,24,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
Grand Blue,TV,12,https://myanimelist.net/anime/37105/Grand_Blue
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie,1,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
Mushishi Zoku Shou: Odoro no Michi,Special,1,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,12,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
Yuru Camp△ Movie,Movie,1,https://myanimelist.net/anime/38475/Yuru_Camp△_Movie
Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku
Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D
Kono Oto Tomare! Part 2,TV,13,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2
Koukaku Kidoutai: Stand Alone Complex,TV,26,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
Mononoke,TV,12,https://myanimelist.net/anime/2246/Mononoke
Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie,1,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu
Saenai Heroine no Sodatekata Fine,Movie,1,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine
Saiki Kusuo no Ψ-nan 2,TV,24,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
Karakai Jouzu no Takagi-san 3,TV,12,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
Saiki Kusuo no Ψ-nan,TV,120,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,1,https://myanimelist.net/anime/39741/Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou
Fruits Basket: Prelude,Movie,1,https://myanimelist.net/anime/49310/Fruits_Basket__Prelude
Hunter x Hunter,TV,62,https://myanimelist.net/anime/136/Hunter_x_Hunter
Major S5,TV,25,https://myanimelist.net/anime/5028/Major_S5
Mo Dao Zu Shi,ONA,15,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
Natsume Yuujinchou Roku Specials,Special,2,https://myanimelist.net/anime/36275/Natsume_Yuujinchou_Roku_Specials
Vivy: Fluorite Eye's Song,TV,13,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
Gintama°: Aizome Kaori-hen,OVA,2,https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen
Houseki no Kuni,TV,12,https://myanimelist.net/anime/35557/Houseki_no_Kuni
Josee to Tora to Sakana-tachi,Movie,1,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi
Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV,12,https://myanimelist.net/anime/54595/Kage_no_Jitsuryokusha_ni_Naritakute_2nd_Season
Kamisama Hajimemashita: Kako-hen,OVA,4,https://myanimelist.net/anime/30709/Kamisama_Hajimemashita__Kako-hen
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),Movie,1,https://myanimelist.net/anime/5205/Kara_no_Kyoukai_Movie_7__Satsujin_Kousatsu_Go
Kaze ga Tsuyoku Fuiteiru,TV,23,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru
Ore dake Level Up na Ken,TV,12,https://myanimelist.net/anime/52299/Ore_dake_Level_Up_na_Ken
Tensei shitara Slime Datta Ken 2nd Season,TV,12,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season
3-gatsu no Lion,TV,22,https://myanimelist.net/anime/31646/3-gatsu_no_Lion
Chihayafuru 2,TV,25,https://myanimelist.net/anime/14397/Chihayafuru_2
Cowboy Bebop: Tengoku no Tobira,Movie,1,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira
Cross Game,TV,50,https://myanimelist.net/anime/5941/Cross_Game
Barakamon,TV,12,https://myanimelist.net/anime/22789/Barakamon
Kimetsu no Yaiba: Mugen Ressha-hen,TV,7,https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen
Made in Abyss Movie 2: Hourou Suru Tasogare,Movie,1,https://myanimelist.net/anime/37515/Made_in_Abyss_Movie_2__Hourou_Suru_Tasogare
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,1,https://myanimelist.net/anime/11979/Mahou_Shoujo_Madoka★Magica_Movie_2__Eien_no_Monogatari
Mo Dao Zu Shi: Xian Yun Pian,ONA,8,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian
Mushoku Tensei: Isekai Ittara Honki Dasu,TV,11,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu
Non Non Biyori Nonstop,TV,12,https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop
Kizumonogatari I: Tekketsu-hen,Movie,1,https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen
Mahou Shoujo Madoka★Magica,TV,12,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica
Ramayana: The Legend of Prince Rama,Movie,1,https://myanimelist.net/anime/4921/Ramayana__The_Legend_of_Prince_Rama
Baccano!,TV,13,https://myanimelist.net/anime/2251/Baccano
Blue Giant,Movie,1,https://myanimelist.net/anime/50183/Blue_Giant
Haikyuu!! To the Top,TV,13,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top
Fumetsu no Anata e,TV,20,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
Gintama: Shiroyasha Koutan,Special,1,https://myanimelist.net/anime/6945/Gintama__Shiroyasha_Koutan
Hellsing Ultimate,OVA,10,https://myanimelist.net/anime/777/Hellsing_Ultimate
K-On! Movie,Movie,1,https://myanimelist.net/anime/9617/K-On_Movie
Kaze no Tani no Nausicaä,Movie,1,https://myanimelist.net/anime/572/Kaze_no_Tani_no_Nausicaä
Shinseiki Evangelion,TV,26,https://myanimelist.net/anime/30/Shinseiki_Evangelion
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,12,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan
Tian Guan Cifu,ONA,11,https://myanimelist.net/anime/40730/Tian_Guan_Cifu
Usagi Drop,TV,11,https://myanimelist.net/anime/10162/Usagi_Drop
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Special,1,https://myanimelist.net/anime/37095/Violet_Evergarden__Kitto_Ai_wo_Shiru_Hi_ga_Kuru_no_Darou
Bakuman. 2nd Season,TV,25,https://myanimelist.net/anime/10030/Bakuman_2nd_Season
Dr. Stone: New World Part 2,TV,11,https://myanimelist.net/anime/55644/Dr_Stone__New_World_Part_2
Initial D First Stage,TV,26,https://myanimelist.net/anime/185/Initial_D_First_Stage
Bakemonogatari,TV,15,https://myanimelist.net/anime/5081/Bakemonogatari
IDOLiSH7 Third Beat! Part 2,TV,17,https://myanimelist.net/anime/46654/IDOLiSH7_Third_Beat_Part_2
Tensei shitara Slime Datta Ken 2nd Season Part 2,TV,12,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2
Tian Guan Cifu Special,ONA,1,https://myanimelist.net/anime/44070/Tian_Guan_Cifu_Special
Versailles no Bara,TV,40,https://myanimelist.net/anime/338/Versailles_no_Bara
Kidou Senshi Gundam: The Origin,OVA,6,https://myanimelist.net/anime/10937/Kidou_Senshi_Gundam__The_Origin
Kiseijuu: Sei no Kakuritsu,TV,24,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
